docid,verb1,verb2,eiid1,eiid2,relation,unique_id,model_name,p_label,iter,score,relation_selected,max_score,n_cycles,min_vote
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,sparking,started,e4,e3,BEFORE,e3-e4,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,AFTER,0.0,1,BEFORE,5.0,,3
AP_20130322,sparking,ended,e4,e6,VAGUE,e4-e6,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,sparking,according,e4,e7,VAGUE,e4-e7,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,8.0,,3
AP_20130322,ended,according,e6,e7,VAGUE,e6-e7,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,11.0,,3
AP_20130322,ended,reported,e6,e8,VAGUE,e6-e8,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,ended,said,e6,e9,VAGUE,e6-e9,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,ended,said,e6,e10,VAGUE,e10-e6,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,according,reported,e7,e8,VAGUE,e7-e8,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,according,said,e7,e9,VAGUE,e7-e9,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,according,said,e7,e10,VAGUE,e10-e7,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,reported,said,e8,e9,VAGUE,e8-e9,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,reported,said,e8,e10,VAGUE,e10-e8,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,said,said,e9,e10,VAGUE,e10-e9,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,recommends,died,e13,e12,BEFORE,e12-e13,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,AFTER,0.0,1,BEFORE,4.0,,3
AP_20130322,recommends,died,e13,e16,VAGUE,e13-e16,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,recommends,vaccinated,e13,e17,VAGUE,e13-e17,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,recommends,said,e13,e20,VAGUE,e13-e20,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,died,vaccinated,e16,e17,VAGUE,e16-e17,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,died,said,e16,e20,VAGUE,e16-e20,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,vaccinated,said,e17,e20,VAGUE,e17-e20,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,died,considered,e16,e21,VAGUE,e16-e21,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,4.0,,3
AP_20130322,vaccinated,considered,e17,e21,VAGUE,e17-e21,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,said,considered,e20,e21,VAGUE,e20-e21,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,started,peaked,e27,e1000035,BEFORE,e1000035-e27,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,BEFORE,0.0,1,BEFORE,4.0,,3
AP_20130322,started,dropping,e27,e28,VAGUE,e27-e28,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,peaked,dropping,e1000035,e28,VAGUE,e1000035-e28,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,dropping,appear,e28,e29,VAGUE,e28-e29,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,dropping,said,e28,e31,VAGUE,e28-e31,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,appear,said,e29,e31,VAGUE,e29-e31,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,BEFORE,1.0,1,BEFORE,5.0,,3
AP_20130322,sparking,started,e4,e3,BEFORE,e3-e4,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,AFTER,1.0,1,BEFORE,5.0,,3
AP_20130322,sparking,ended,e4,e6,VAGUE,e4-e6,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,1.0,1,VAGUE,5.0,,3
AP_20130322,sparking,according,e4,e7,VAGUE,e4-e7,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,1.0,1,VAGUE,8.0,,3
AP_20130322,ended,according,e6,e7,VAGUE,e6-e7,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,1.0,1,VAGUE,11.0,,3
AP_20130322,sparking,according,e4,e7,VAGUE,e4-e7,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,1.0,1,VAGUE,8.0,,3
AP_20130322,ended,according,e6,e7,VAGUE,e6-e7,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,1.0,1,VAGUE,11.0,,3
AP_20130322,ended,according,e6,e7,VAGUE,e6-e7,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,1.0,1,VAGUE,11.0,,3
AP_20130322,ended,reported,e6,e8,VAGUE,e6-e8,meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,VAGUE,1.0,1,VAGUE,5.0,,3
