docid,unique_id,relation_selected,score,verb1,verb2,eiid1,eiid2,relation,model_name,ccr,scr
AP_20130322,e10-e9,BEFORE,5,said,said,e9,e10,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e1000028-e2,BEFORE,5,killed,season,e2,e1000028,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e1000030-e2,BEFORE,1,killed,deaths,e2,e1000030,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e1000030-e8,BEFORE,1,deaths,reported,e1000030,e8,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e1000032-e12,BEFORE,2,died,pandemic,e12,e1000032,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e1000033-e2003,BEFORE,1,grim,season,e1000033,e2003,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e1000033-e26,BEFORE,5,hospitalized,grim,e26,e1000033,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e1000035-e27,BEFORE,5,started,peaked,e27,e1000035,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e1000035-e28,BEFORE,4,peaked,dropping,e1000035,e28,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e11-e12,BEFORE,3,die,died,e11,e12,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e13-e2001,BEFORE,1,recommends,vaccinated,e13,e2001,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e16-e17,BEFORE,5,died,vaccinated,e16,e17,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e17-e19,BEFORE,5,vaccinated,vaccinated,e17,e19,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e19-e20,BEFORE,5,vaccinated,said,e19,e20,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e2003-e27,BEFORE,2,started,season,e27,e2003,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e2004-e30,BEFORE,4,getting,season,e30,e2004,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e2004-e31,BEFORE,2,season,said,e2004,e31,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e21-e22,BEFORE,5,considered,work,e21,e22,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e28-e29,BEFORE,2,dropping,appear,e28,e29,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e29-e30,BEFORE,4,appear,getting,e29,e30,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e29-e30,EQUAL,1,appear,getting,e29,e30,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e3-e4,BEFORE,4,started,sparking,e3,e4,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e30-e31,BEFORE,3,getting,said,e30,e31,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e4-e5,BEFORE,4,sparking,turn,e4,e5,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e5-e6,BEFORE,2,turn,ended,e5,e6,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e6-e7,BEFORE,4,ended,according,e6,e7,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
AP_20130322,e8-e9,BEFORE,5,reported,said,e8,e9,BEFORE,gemini-1.5-pro,0.18181818181818182,1.0
CNN_20130321_821,e1-e1000,BEFORE,2,make,intended,e1,e1000,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1-e1002,BEFORE,2,make,tries,e1,e1002,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1-e1003,BEFORE,2,make,undermine,e1,e1003,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1-e20,BEFORE,2,make,assure,e1,e20,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1-e4,BEFORE,4,make,had,e1,e4,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1-e5,BEFORE,3,make,used,e1,e5,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1-e8,BEFORE,3,make,unleashed,e1,e8,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1000-e1002,BEFORE,3,intended,tries,e1000,e1002,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1000-e1002,EQUAL,1,intended,tries,e1000,e1002,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1000-e1003,BEFORE,2,intended,undermine,e1000,e1003,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1000-e1003,EQUAL,1,intended,undermine,e1000,e1003,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1000-e20,BEFORE,2,intended,assure,e1000,e20,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1000-e4,BEFORE,2,had,intended,e4,e1000,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1000-e5,BEFORE,2,used,intended,e5,e1000,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1000-e8,BEFORE,4,unleashed,intended,e8,e1000,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1002-e1003,EQUAL,4,tries,undermine,e1002,e1003,EQUAL,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1002-e20,BEFORE,3,tries,assure,e1002,e20,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1002-e4,BEFORE,2,had,tries,e4,e1002,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1002-e5,BEFORE,2,used,tries,e5,e1002,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1002-e8,BEFORE,3,unleashed,tries,e8,e1002,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1003-e20,BEFORE,4,undermine,assure,e1003,e20,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1003-e4,BEFORE,2,had,undermine,e4,e1003,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1003-e5,BEFORE,2,used,undermine,e5,e1003,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e1003-e8,BEFORE,3,unleashed,undermine,e8,e1003,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e20-e4,BEFORE,2,had,assure,e4,e20,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e20-e5,BEFORE,2,used,assure,e5,e20,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e20-e8,BEFORE,3,unleashed,assure,e8,e20,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e4-e5,BEFORE,1,had,used,e4,e5,EQUAL,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e4-e5,EQUAL,3,had,used,e4,e5,EQUAL,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e4-e8,BEFORE,3,had,unleashed,e4,e8,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130321_821,e5-e8,BEFORE,4,used,unleashed,e5,e8,BEFORE,gemini-1.5-pro,0.75,1.0
CNN_20130322_1003,e1-e10,BEFORE,3,accused,learned,e1,e10,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e11,BEFORE,3,accused,pulled,e1,e11,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e12,BEFORE,3,accused,pulled,e1,e12,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e13,BEFORE,3,accused,showed,e1,e13,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e14,BEFORE,3,accused,discovered,e1,e14,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e15,BEFORE,3,accused,appeared,e1,e15,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e16,BEFORE,3,accused,death,e1,e16,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e17,BEFORE,3,accused,wanted,e1,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e18,BEFORE,3,accused,collect,e1,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e19,BEFORE,3,accused,started,e1,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e2,BEFORE,2,accused,faking,e1,e2,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e20,BEFORE,3,accused,said,e1,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e2012,BEFORE,1,accused,death,e1,e2012,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e21,BEFORE,3,accused,arrested,e1,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e23,BEFORE,1,accused,agreed,e1,e23,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e24,BEFORE,1,accused,plead,e1,e24,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e25,BEFORE,1,accused,charge,e1,e25,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e26,BEFORE,1,accused,sentence,e1,e26,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e27,BEFORE,1,accused,said,e1,e27,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e28,BEFORE,1,accused,pay,e1,e28,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e29,BEFORE,1,accused,search,e1,e29,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e3,BEFORE,5,accused,pleaded,e1,e3,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e5,BEFORE,3,accused,announced,e1,e5,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e6,BEFORE,3,accused,reported,e1,e6,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e7,BEFORE,3,accused,missing,e1,e7,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1-e9,BEFORE,3,accused,said,e1,e9,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e10-e11,BEFORE,5,learned,pulled,e10,e11,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e10-e12,BEFORE,1,learned,pulled,e10,e12,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e10-e2,BEFORE,2,faking,learned,e2,e10,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e10-e6,BEFORE,5,reported,learned,e6,e10,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e10-e7,BEFORE,3,missing,learned,e7,e10,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e10-e8,BEFORE,3,search,learned,e8,e10,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e10-e9,BEFORE,3,said,learned,e9,e10,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1000-e11,BEFORE,1,pulled,speeding,e11,e1000,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1000-e6,BEFORE,1,reported,speeding,e6,e1000,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e1001-e36,BEFORE,1,uncovered,correspondence,e36,e1001,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e11-e12,BEFORE,4,pulled,pulled,e11,e12,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e11-e13,BEFORE,1,pulled,showed,e11,e13,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e11-e2,BEFORE,2,faking,pulled,e2,e11,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e11-e6,BEFORE,4,reported,pulled,e6,e11,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e11-e7,BEFORE,3,missing,pulled,e7,e11,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e11-e8,BEFORE,3,search,pulled,e8,e11,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e11-e9,BEFORE,3,said,pulled,e9,e11,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e13,BEFORE,4,pulled,showed,e12,e13,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e14,BEFORE,2,pulled,discovered,e12,e14,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e15,BEFORE,2,pulled,appeared,e12,e15,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e16,BEFORE,2,pulled,death,e12,e16,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e17,BEFORE,2,pulled,wanted,e12,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e18,BEFORE,2,pulled,collect,e12,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e19,BEFORE,2,pulled,started,e12,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e2,BEFORE,2,faking,pulled,e2,e12,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e20,BEFORE,2,pulled,said,e12,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e21,BEFORE,2,pulled,arrested,e12,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e6,BEFORE,3,reported,pulled,e6,e12,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e7,BEFORE,3,missing,pulled,e7,e12,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e8,BEFORE,2,search,pulled,e8,e12,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e12-e9,BEFORE,1,said,pulled,e9,e12,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e14,BEFORE,1,showed,discovered,e13,e14,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e15,BEFORE,3,showed,appeared,e13,e15,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e16,BEFORE,3,showed,death,e13,e16,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e17,BEFORE,2,showed,wanted,e13,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e18,BEFORE,2,showed,collect,e13,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e19,BEFORE,2,showed,started,e13,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e2,BEFORE,2,faking,showed,e2,e13,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e20,BEFORE,2,showed,said,e13,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e21,BEFORE,2,showed,arrested,e13,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e6,BEFORE,1,reported,showed,e6,e13,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e13-e7,BEFORE,1,missing,showed,e7,e13,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e15,BEFORE,5,discovered,appeared,e14,e15,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e16,BEFORE,1,discovered,death,e14,e16,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e17,BEFORE,1,discovered,wanted,e14,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e18,BEFORE,1,discovered,collect,e14,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e19,BEFORE,1,discovered,started,e14,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e2,BEFORE,2,faking,discovered,e2,e14,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e20,BEFORE,1,discovered,said,e14,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e21,BEFORE,1,discovered,arrested,e14,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e6,BEFORE,1,reported,discovered,e6,e14,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e14-e7,BEFORE,1,missing,discovered,e7,e14,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e16,BEFORE,5,appeared,death,e15,e16,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e17,BEFORE,2,appeared,wanted,e15,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e18,BEFORE,2,appeared,collect,e15,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e19,BEFORE,2,appeared,started,e15,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e2,BEFORE,2,faking,appeared,e2,e15,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e20,BEFORE,2,appeared,said,e15,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e2001,BEFORE,1,appeared,fake,e15,e2001,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e21,BEFORE,2,appeared,arrested,e15,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e6,BEFORE,1,reported,appeared,e6,e15,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e15-e7,BEFORE,1,missing,appeared,e7,e15,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e17,BEFORE,5,death,wanted,e16,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e18,BEFORE,3,death,collect,e16,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e19,BEFORE,3,death,started,e16,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e2,BEFORE,2,faking,death,e2,e16,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e20,BEFORE,2,death,said,e16,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e2001,EQUAL,1,fake,death,e2001,e16,EQUAL,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e21,BEFORE,2,death,arrested,e16,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e6,BEFORE,1,reported,death,e6,e16,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e16-e7,BEFORE,1,missing,death,e7,e16,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e17-e18,BEFORE,5,wanted,collect,e17,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e17-e19,BEFORE,5,wanted,started,e17,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e17-e2,BEFORE,2,faking,wanted,e2,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e17-e20,BEFORE,2,wanted,said,e17,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e17-e21,BEFORE,2,wanted,arrested,e17,e21,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e17-e6,BEFORE,1,reported,wanted,e6,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e17-e7,BEFORE,1,missing,wanted,e7,e17,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e18-e19,BEFORE,2,collect,started,e18,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e18-e19,EQUAL,1,collect,started,e18,e19,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e18-e2,BEFORE,2,faking,collect,e2,e18,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
CNN_20130322_1003,e18-e20,BEFORE,3,collect,said,e18,e20,BEFORE,gemini-1.5-pro,0.3445378151260504,1.0
