docid,verb1,verb2,eiid1,eiid2,relation,unique_id,model_name,iter,score,relation_selected,max_score,conflict_rel,ccr,scr,n_cycles,min_vote
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,started,sparking,e3,e4,BEFORE,e3-e4,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,sparking,turn,e4,e5,BEFORE,e4-e5,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,turn,ended,e5,e6,BEFORE,e5-e6,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,ended,according,e6,e7,BEFORE,e6-e7,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,reported,said,e8,e9,BEFORE,e8-e9,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,said,said,e9,e10,BEFORE,e10-e9,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,die,died,e11,e12,VAGUE,e11-e12,llama-3.1-70b-versatile,0.0,1,VAGUE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,recommends,died,e13,e16,VAGUE,e13-e16,llama-3.1-70b-versatile,0.0,1,VAGUE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,died,vaccinated,e16,e17,BEFORE,e16-e17,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,vaccinated,vaccinated,e17,e19,BEFORE,e17-e19,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,vaccinated,said,e19,e20,BEFORE,e19-e20,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,considered,work,e21,e22,VAGUE,e21-e22,llama-3.1-70b-versatile,0.0,1,,,,0.21212121212121213,1.0,,3
AP_20130322,work,season,e22,e2002,VAGUE,e2002-e22,llama-3.1-70b-versatile,0.0,1,,,,0.21212121212121213,1.0,,3
AP_20130322,hospitalized,started,e26,e27,VAGUE,e26-e27,llama-3.1-70b-versatile,0.0,1,VAGUE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,started,dropping,e27,e28,BEFORE,e27-e28,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
AP_20130322,dropping,appear,e28,e29,BEFORE,e28-e29,llama-3.1-70b-versatile,0.0,1,BEFORE,4.0,,0.21212121212121213,1.0,,3
