docid,verb1,verb2,eiid1,eiid2,relation,unique_id,model_name,p_label,iter,score,relation_selected,max_score,n_cycles,min_vote
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,killed,sparking,e2,e4,BEFORE,e2-e4,gemini-1.5-pro,BEFORE,0.0,1,,,,3
AP_20130322,started,sparking,e3,e4,BEFORE,e3-e4,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,started,ended,e3,e6,BEFORE,e3-e6,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,started,according,e3,e7,BEFORE,e3-e7,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,sparking,ended,e4,e6,BEFORE,e4-e6,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,sparking,according,e4,e7,BEFORE,e4-e7,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,ended,according,e6,e7,BEFORE,e6-e7,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,ended,reported,e6,e8,BEFORE,e6-e8,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,ended,said,e6,e9,BEFORE,e6-e9,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,ended,said,e6,e10,BEFORE,e10-e6,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,according,reported,e7,e8,BEFORE,e7-e8,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,according,said,e7,e9,BEFORE,e7-e9,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,according,said,e7,e10,BEFORE,e10-e7,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,reported,said,e8,e9,BEFORE,e8-e9,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,reported,said,e8,e10,BEFORE,e10-e8,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,4.0,,3
AP_20130322,said,said,e9,e10,EQUAL,e10-e9,gemini-1.5-pro,EQUAL,0.0,1,EQUAL,5.0,,3
AP_20130322,died,recommends,e12,e13,VAGUE,e12-e13,gemini-1.5-pro,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,recommends,died,e13,e16,VAGUE,e13-e16,gemini-1.5-pro,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,recommends,vaccinated,e13,e17,VAGUE,e13-e17,gemini-1.5-pro,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,recommends,said,e13,e20,VAGUE,e13-e20,gemini-1.5-pro,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,died,vaccinated,e16,e17,BEFORE,e16-e17,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,died,said,e16,e20,BEFORE,e16-e20,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,4.0,,3
AP_20130322,vaccinated,said,e17,e20,VAGUE,e17-e20,gemini-1.5-pro,VAGUE,0.0,1,VAGUE,4.0,,3
AP_20130322,died,considered,e16,e21,VAGUE,e16-e21,gemini-1.5-pro,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,vaccinated,considered,e17,e21,VAGUE,e17-e21,gemini-1.5-pro,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,said,considered,e20,e21,VAGUE,e20-e21,gemini-1.5-pro,VAGUE,0.0,1,VAGUE,5.0,,3
AP_20130322,started,peaked,e27,e1000035,BEFORE,e1000035-e27,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,started,dropping,e27,e28,BEFORE,e27-e28,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,peaked,dropping,e1000035,e28,BEFORE,e1000035-e28,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,dropping,appear,e28,e29,BEFORE,e28-e29,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,dropping,said,e28,e31,BEFORE,e28-e31,gemini-1.5-pro,BEFORE,0.0,1,BEFORE,5.0,,3
AP_20130322,appear,said,e29,e31,EQUAL,e29-e31,gemini-1.5-pro,EQUAL,0.0,1,,,,3
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,gemini-1.5-pro,BEFORE,1.0,1,BEFORE,5.0,,3
