docid,verb1,verb2,eiid1,eiid2,relation,unique_id,model_name,n_iter,score,relation_selected,max_score,ccr,scr,n_cycles,min_vote
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,started,sparking,e3,e4,BEFORE,e3-e4,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,sparking,turn,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,turn,ended,e5,e6,BEFORE,e5-e6,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,ended,reported,e6,e8,BEFORE,e6-e8,gemini-1.5-flash,0.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,reported,said,e8,e9,BEFORE,e8-e9,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,said,said,e9,e10,BEFORE,e10-e9,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,die,died,e11,e12,VAGUE,e11-e12,gemini-1.5-flash,0.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,died,vaccinated,e16,e17,BEFORE,e16-e17,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,vaccinated,e17,e19,BEFORE,e17-e19,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,vaccinated,said,e19,e20,BEFORE,e19-e20,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,considered,work,e21,e22,BEFORE,e21-e22,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,work,season,e22,e2002,BEFORE,e2002-e22,gemini-1.5-flash,0.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,season,hospitalized,e2002,e26,BEFORE,e2002-e26,gemini-1.5-flash,0.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,started,peaked,e27,e1000035,BEFORE,e1000035-e27,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,peaked,dropping,e1000035,e28,BEFORE,e1000035-e28,gemini-1.5-flash,0.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,appear,getting,e29,e30,BEFORE,e29-e30,gemini-1.5-flash,0.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,getting,said,e30,e31,BEFORE,e30-e31,gemini-1.5-flash,0.0,1,BEFORE,4.0,0.15151515151515152,1.0,,3
AP_20130322,season,said,e2004,e31,BEFORE,e2004-e31,gemini-1.5-flash,0.0,1,,,0.15151515151515152,1.0,,3
AP_20130322,killed,started,e2,e3,BEFORE,e2-e3,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,started,sparking,e3,e4,BEFORE,e3-e4,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,sparking,turn,e4,e5,BEFORE,e4-e5,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
AP_20130322,turn,ended,e5,e6,BEFORE,e5-e6,gemini-1.5-flash,1.0,1,BEFORE,5.0,0.15151515151515152,1.0,,3
